expressions,count_values
no,58
support for low-income households,58
none,39
public insurance for environmental disasters,29
social services,19
social protection,11
public works and employment guarantee schemes,10
relocation of communities affected by natural disasters,2
support to low income communities,1
disaster protection,1
social safety network,1
support for low income households,1
public works and employment,1
labour standards,1
support for low-income communities,1
social safety nets,1
social security,1
social protection for fossil fuels workers,1
unemployment benefits,1
benefits for pregnant women,1
social sevices,1
protection for climate-induced migrants,1
cash transfers,1
social pensions,1
